icd10_code	icd10_phe
H21543	Posterior synechiae (iris), bilateral
C254	Malignant neoplasm of endocrine pancreas
M67863	Other specified disorders of tendon, right knee
S338	Sprain of other parts of lumbar spine and pelvis
S93321	Subluxation of tarsometatarsal joint of right foot
M71041	Abscess of bursa, right hand
S92311	Displaced fracture of first metatarsal bone, right foot
I6001	Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation
S73013	Posterior subluxation of unspecified hip
S42017	Nondisplaced fracture of sternal end of right clavicle
A4901	Methicillin susceptible Staphylococcus aureus infection, unspecified site
S32111	Minimally displaced Zone I fracture of sacrum
K116	Mucocele of salivary gland
M0629	Rheumatoid bursitis, multiple sites
O20	Hemorrhage in early pregnancy
Y69	Unspecified misadventure during surgical and medical care
D57819	Other sickle-cell disorders with crisis, unspecified
Z636	Dependent relative needing care at home
V676	Passenger in heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
S90446	External constriction, unspecified lesser toe(s)
H671	Otitis media in diseases classified elsewhere, right ear
Q37	Cleft palate with cleft lip
M8729	Osteonecrosis due to previous trauma, multiple sites
S8551	Laceration of popliteal vein
O10419	Pre-existing secondary hypertension complicating pregnancy, unspecified trimester
M92221	Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], right hand
S93499	Sprain of other ligament of unspecified ankle
S62610	Displaced fracture of proximal phalanx of right index finger
I21A1	Myocardial infarction type 2
T8309	Other mechanical complication of urinary catheter
G512	Melkersson's syndrome
T84033	Mechanical loosening of internal left knee prosthetic joint
H6593	Unspecified nonsuppurative otitis media, bilateral
F11922	Opioid use, unspecified with intoxication with perceptual disturbance
O103	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium
F6812	Factitious disorder imposed on self, with predominantly physical signs and symptoms
T38812	Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm
V499	Car occupant (driver) (passenger) injured in unspecified traffic accident
S62235	Other nondisplaced fracture of base of first metacarpal bone, left hand
Z9887	Personal history of in utero procedure
Q386	Other congenital malformations of mouth
G9529	Other cord compression
A832	Eastern equine encephalitis
L080	Pyoderma
S71151	Open bite, right thigh
T879	Unspecified complications of amputation stump
S66103	Unspecified injury of flexor muscle, fascia and tendon of left middle finger at wrist and hand level
M6786	Other specified disorders of synovium and tendon, knee
S25392	Other specified injury of left innominate or subclavian vein
F913	Oppositional defiant disorder
K0853	Fractured dental restorative material
L9841	Non-pressure chronic ulcer of buttock
N803A3	Superficial endometriosis of the bilateral uterosacral ligament(s)
S9231	Fracture of first metatarsal bone
T159	Foreign body on external eye, part unspecified
M05669	Rheumatoid arthritis of unspecified knee with involvement of other organs and systems
M1A122	Lead-induced chronic gout, left elbow
M05861	Other rheumatoid arthritis with rheumatoid factor of right knee
V121	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
C6202	Malignant neoplasm of undescended left testis
I70632	Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf
D52	Folate deficiency anemia
T36AX4	Poisoning by fluoroquinolone antibiotics, undetermined
A5442	Gonococcal arthritis
J86	Pyothorax
Q51821	Hypoplasia of cervix
G5601	Carpal tunnel syndrome, right upper limb
H35019	Changes in retinal vascular appearance, unspecified eye
S4081	Abrasion of upper arm
S56494	Other injury of extensor muscle, fascia and tendon of left middle finger at forearm level
T22729	Corrosion of third degree of unspecified elbow
O3089	Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs
T441	Poisoning by, adverse effect of and underdosing of other parasympathomimetics [cholinergics]
S9581	Laceration of other blood vessels at ankle and foot level
B571	Acute Chagas' disease without heart involvement
M7122	Synovial cyst of popliteal space [Baker], left knee
T572X4	Toxic effect of manganese and its compounds, undetermined
D4620	Refractory anemia with excess of blasts, unspecified
H18831	Recurrent erosion of cornea, right eye
M6242	Contracture of muscle, upper arm
H02866	Hypertrichosis of left eye, unspecified eyelid
M87037	Idiopathic aseptic necrosis of right carpus
M60832	Other myositis, left forearm
S0053	Contusion of lip and oral cavity
M67821	Other specified disorders of synovium, right elbow
S2550	Unspecified injury of intercostal blood vessels
S65592	Other specified injury of blood vessel of right middle finger
F523	Orgasmic disorder
V521	Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
J988	Other specified respiratory disorders
L0109	Other impetigo
M24274	Disorder of ligament, right foot
M9911	Subluxation complex (vertebral) of cervical region
S68421	Partial traumatic amputation of right hand at wrist level
M85372	Osteitis condensans, left ankle and foot
M79A2	Nontraumatic compartment syndrome of lower extremity
T81596	Other complications of foreign body accidentally left in body following aspiration, puncture or other catheterization
R840	Abnormal level of enzymes in specimens from respiratory organs and thorax
S4300	Unspecified subluxation and dislocation of shoulder joint
M24019	Loose body in unspecified shoulder
T25691	Corrosion of second degree of right ankle and foot
S61151	Open bite of right thumb with damage to nail
I80292	Phlebitis and thrombophlebitis of other deep vessels of left lower extremity
S7501	Minor laceration of femoral artery
H16231	Neurotrophic keratoconjunctivitis, right eye
K411	Bilateral femoral hernia, with gangrene
M2140	Flat foot [pes planus] (acquired), unspecified foot
L9847	Non-pressure chronic ulcer of groin
N3949	Other specified urinary incontinence
I6910	Unspecified sequelae of nontraumatic intracerebral hemorrhage
M12321	Palindromic rheumatism, right elbow
E71541	Zellweger-like syndrome
T445X5	Adverse effect of predominantly beta-adrenoreceptor agonists
Z5739	Occupational exposure to other air contaminants
H110	Pterygium of eye
L89003	Pressure ulcer of unspecified elbow, stage 3
T8221	Mechanical complication of coronary artery bypass graft
B263	Mumps pancreatitis
M0544	Rheumatoid myopathy with rheumatoid arthritis of hand
R29706	NIHSS score 6
S32316	Nondisplaced avulsion fracture of unspecified ilium
D569	Thalassemia, unspecified
S66128	Laceration of flexor muscle, fascia and tendon of other finger at wrist and hand level
T320	Corrosions involving less than 10% of body surface
S8780	Crushing injury of unspecified lower leg
Y375	Military operations involving nuclear weapons
S28229	Partial traumatic amputation of unspecified breast
M10429	Other secondary gout, unspecified elbow
S42435	Nondisplaced fracture (avulsion) of lateral epicondyle of left humerus
W53	Contact with rodent
D071	Carcinoma in situ of vulva
O98213	Gonorrhea complicating pregnancy, third trimester
H3483	Tributary (branch) retinal vein occlusion
S89129	Salter-Harris Type II physeal fracture of lower end of unspecified tibia
T2841	Burn of ear drum
E8021	Acute intermittent (hepatic) porphyria
W931	Contact with or inhalation of liquid air
Y0745	Grandchild, perpetrator of maltreatment and neglect
T494X4	Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined
T8743	Infection of amputation stump, right lower extremity
M84377	Stress fracture, right toe(s)
S73011	Posterior subluxation of right hip
E1051	Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
H54121	Low vision right eye category 1, blindness left eye
M6127	Paralytic calcification and ossification of muscle, ankle and foot
M6723	Synovial hypertrophy, not elsewhere classified, forearm
Z1633	Resistance to antiviral drug(s)
S55202	Unspecified injury of vein at forearm level, left arm
T23551	Corrosion of first degree of right palm
A43	Nocardiosis
S859	Injury of unspecified blood vessel at lower leg level
Z44129	Encounter for fitting and adjustment of partial artificial leg, unspecified leg
F16151	Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
D613	Idiopathic aplastic anemia
T2233	Burn of third degree of upper arm
D552	Anemia due to disorders of glycolytic enzymes
S21221	Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity
M5144	Schmorl's nodes, thoracic region
S86021	Laceration of right Achilles tendon
T3192	Burns involving 90% or more of body surface with 20-29% third degree burns
H44129	Parasitic endophthalmitis, unspecified, unspecified eye
K9439	Other complications of esophagostomy
S56101	Unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level
S61119	Laceration without foreign body of unspecified thumb with damage to nail
Z9359	Other cystostomy status
A278	Other forms of leptospirosis
H33199	Other retinoschisis and retinal cysts, unspecified eye
M948X9	Other specified disorders of cartilage, unspecified sites
E06	Thyroiditis
M0514	Rheumatoid lung disease with rheumatoid arthritis of hand
S61	Open wound of wrist, hand and fingers
V4312	Car passenger injured in collision with other type car in nontraffic accident
E6681	Obesity class
S63205	Unspecified subluxation of left ring finger
D496	Neoplasm of unspecified behavior of brain
H04	Disorders of lacrimal system
H59099	Other disorders of unspecified eye following cataract surgery
I2584	Coronary atherosclerosis due to calcified coronary lesion
M11822	Other specified crystal arthropathies, left elbow
L043	Acute lymphadenitis of lower limb
N1411	Contrast-induced nephropathy
M7100	Abscess of bursa, unspecified site
T428X1	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional)
M0007	Staphylococcal arthritis, ankle and foot
S06822	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes
S5037	Other superficial bite of elbow
I70445	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot
I060	Rheumatic aortic stenosis
M84652	Pathological fracture in other disease, left femur
S68126	Partial traumatic metacarpophalangeal amputation of right little finger
H40011	Open angle with borderline findings, low risk, right eye
M62279	Nontraumatic ischemic infarction of muscle, unspecified ankle and foot
Q666	Other congenital valgus deformities of feet
S3639	Other injury of stomach
R251	Tremor, unspecified
S45102	Unspecified injury of brachial artery, left side
